ID,rader,year,authors,title,journal,vol,begin,end,DOI,exclude,rationale
a,,2020,"Guignabert, Arthur; Augusto, Laurent; Gonzalez, Maya; Chipeaux, Christophe; Delerue, Florian",Complex biotic interactions mediated by shrubs: Revisiting the stress-gradient hypothesis and consequences for tree seedling survival,JOURNAL OF APPLIED ECOLOGY,,,,10.1111/1365-2664.13641,,
b,,2020,"Liu, Lin; Veblen, Kari E.; Monaco, Thomas A.",Shrub size modulates resource heterogeneity in a sagebrush-steppe ecosystem,WESTERN NORTH AMERICAN NATURALIST,80,28,37,10.3398/064.080.0104,,
c,,2020,"Yang, Lulu; He, Yan; Wang, Shuhui; Zhang, Yanjun; Wang, Ying; Liang, Qiong",Population genetic divergence in Lycium chinense Mill. (Solanaceae) is driven by both hybridization and geo-environmental factors,GENETIC RESOURCES AND CROP EVOLUTION,,,,10.1007/s10722-020-00925-4,,
d,,2020,"Urli, Morgane; Thiffault, Nelson; Houle, Daniel; Gauthier, Sylvie; Bergeron, Yves",Role of green alder in boreal conifer growth: competitor or facilitator?,FACETS,5,166,181,10.1139/facets-2019-0064,,
e,,2020,"Llambi, Luis D.; Durbecq, Aure; Caceres-Mago, Karla; Caceres, Alicia; Ramirez, Lirey; Torres, Eloy; Mendez, Zulay",Interactions between nurse-plants and an exotic invader along a tropical alpine elevation gradient: growth-form matters,ALPINE BOTANY,130,59,73,10.1007/s00035-020-00235-6,,
f,,2020,"Bannister, Jan R.; Travieso, German; Galindo, Nicole; Acevedo, Manuel; Puettmann, Klaus; Salas-Eljatib, Christian",Shrub influences on seedling performance when restoring the slow-growing conifer Pilgerodendron uviferum in southern bog forests,RESTORATION ECOLOGY,28,396,407,10.1111/rec.13090,,
g,,2020,"Marciniak, Brisa; De Sa Dechoum, Michele; Castellani, Tania Tarabini",The danger of non-native gardens: risk of invasion by Schefflera arboricola associated with seed dispersal by birds,BIOLOGICAL INVASIONS,22,997,1010,10.1007/s10530-019-02139-x,,
h,,2020,"Foronda, Ana; Pueyo, Yolanda; Miguel Castillejo, Jose; de la Luz Giner, Maria; Alados, Concepcion L.",Substrate-specialist plants for restoring vegetation in post-mining gypsum substrates,CATENA,186,,,10.1016/j.catena.2019.104308,,
i,,2020,"Erfanzadeh, Reza; Shayesteh Palaye, Ali A.; Ghelichnia, Hassan",Shrub effects on germinable soil seed bank in overgrazed rangelands,PLANT ECOLOGY & DIVERSITY,,,,10.1080/17550874.2020.1718233,,
j,,2020,"Yu, Zhenxing; Xu, Jing; Liu, Shijun; Hu, Liangliang; Ren, Minglei; Liu, Yu; Tang, Jianjun; Chen, Xin",Adult plants facilitate their conspecific seedlings by enhancing arbuscular mycorrhizae in a saline soil,PLANT AND SOIL,447,333,345,10.1007/s11104-019-04382-6,,
k,,2020,"Noumi, Zouhaier",Can native shrubs facilitate the establishment of trees under arid bioclimate? A case study from Tunisia,FLORA,263,,,10.1016/j.flora.2019.151517,,
l,,2020,"Kitagawa, Ryo; Masumoto, Shota; Nishizawa, Keita; Kaneko, Ryo; Osono, Takashi; Hasegawa, Motohiro; Uchida, Masaki; Mori, Akira S.",Positive interaction facilitates landscape homogenization by shrub expansion in the forest-tundra ecotone,JOURNAL OF VEGETATION SCIENCE,31,234,244,10.1111/jvs.12818,,
m,,2020,"Zhang, Zhengzhong; Shan, Lishan; Li, Yi; Wang, Yang",Belowground interactions differ between sympatric desert shrubs under water stress,ECOLOGY AND EVOLUTION,,,,10.1002/ece3.5999,,
n,,2020,"Erfanzadeh, Reza; Hazhir, Shadi; Jafari, Mohammad",Effect of cushion plants on the soil seed bank in overgrazed semiarid regions,LAND DEGRADATION & DEVELOPMENT,,,,10.1002/ldr.3517,,
o,,2020,"Swanson, Elizabeth K.; Sheley, Roger L.; James, Jeremy J.",Do shrubs improve reproductive chances of neighbors across soil types in drought?,OECOLOGIA,192,79,90,10.1007/s00442-019-04559-x,,
p,,2020,"Pablo Lopez, Ramiro; Zenteno-Ruiz, Freddy; Roque-Marca, Natalio; Moya, Laura; Villalba, David; Valdivia, Sergio; Larrea-Alcazar, Daniel",Consistent spatial patterns across several plant communities within a region indicate that the same processes may be acting on Andean deserts and semideserts,JOURNAL OF VEGETATION SCIENCE,31,180,193,10.1111/jvs.12821,,
g,,2019,"Garrote, Pedro J.; Castilla, Antonio R.; Fedriani, Jose M.",The endemic Mediterranean dwarf palm boosts the recolonization of old-fields: Implications for restoration,JOURNAL OF ENVIRONMENTAL MANAGEMENT,250,,,10.1016/j.jenvman.2019.109478,,
r,,2019,"Drezner, Taly Dawn","Vegetation associations of the endangered Opuntia cespitosa (Prickly Pear, Cactaceae) and microsite variation in Point Pelee National Park, Ontario, Canada",PHYSICAL GEOGRAPHY,,,,10.1080/02723646.2019.1684774,,
s,,2019,"Liczner, Amanda R.; Filazzola, Alessandro; Westphal, Michael; Lortie, Christopher J.",Shrubs facilitate native forb re-establishment in an invaded arid shrubland,JOURNAL OF ARID ENVIRONMENTS,170,,,10.1016/j.jaridenv.2019.103998,,
1,Jacob,2019,"Verwijmeren, Mart; Smit, Christian; Bautista, Susana; Wassen, Martin J.; Rietkerk, Max",Combined Grazing and Drought Stress Alter the Outcome of Nurse: Beneficiary Interactions in a Semi-arid Ecosystem,ECOSYSTEMS,22,1295,1307,10.1007/s10021-019-00336-2,,
2,Jacob,2019,"Quon, Lauren H.; Bobich, Edward G.; Questad, Erin J.",Facilitation and herbivory during restoration of California coastal sage scrub,RESTORATION ECOLOGY,27,1041,1052,10.1111/rec.12966,,
3,Jacob,2019,"Piper, Frida I.; Fajardo, Alex; Baeza, Gabriela; Cavieres, Lohengrin A.",The association between a nurse cushion plant and a cluster root-bearing tree species alters the plant community structure,JOURNAL OF ECOLOGY,107,2182,2196,10.1111/1365-2745.13188,,
4,Jacob,2019,"Orellana, Jose I.; Valdivia, Carlos E.",Putative local adaptations modulate the interactions of the carnivorous plant Drosera uniflora Willd (1809) (Droseraceae) with cushion and shrub nurse plants,AUSTRAL ECOLOGY,44,962,972,10.1111/aec.12762,,
5,Jacob,2019,"Lloyd, Gwendolyn; Mahon, Michael B.; Crist, Thomas O.",Invasive shrub cover and tree species composition influence exotic earthworms,FOREST ECOLOGY AND MANAGEMENT,447,53,59,10.1016/j.foreco.2019.05.049,,
6,Jacob,2019,"Bai, Yuxuan; Zhang, Yuqing; Michalet, Richard; She, Weiwei; Jia, Xin; Qin, Shugao",Responses of different herb life-history groups to a dominant shrub species along a dune stabilization gradient,BASIC AND APPLIED ECOLOGY,38,1,12,10.1016/j.baae.2019.06.001,,
7,Jacob,2019,"Nystuen, Kristin O.; Sundsdal, Kristine; Opedal, Oystein H.; Holien, Hakon; Strimbeck, George Richard; Graae, Bente J.",Lichens facilitate seedling recruitment in alpine heath,JOURNAL OF VEGETATION SCIENCE,30,868,880,10.1111/jvs.12773,,
8,Jacob,2019,"Kelemen, Andras; Tolgyesi, Csaba; Valko, Orsolya; Deak, Balazs; Miglecz, Tamas; Fekete, Reka; Torok, Peter; Balogh, Nora; Tothmeresz, Bela",Density-Dependent Plant-Plant Interactions Triggered by Grazing,FRONTIERS IN PLANT SCIENCE,10,,,10.3389/fpls.2019.00876,,
9,Jacob,2019,"Poudeyal, Mukti Ram; Meilby, Henrik; Shrestha, Bharat Babu; Ghimire, Suresh Kumar",Harvest effects on density and biomass of Neopicrorhiza scrophulariiflora vary along environmental gradients in the Nepalese Himalayas,ECOLOGY AND EVOLUTION,9,7726,7740,10.1002/ece3.5355,,
10,Jacob,2019,"Urza, Alexandra K.; Weisberg, Peter J.; Chambers, Jeanne C.; Sullivan, Benjamin W.",Shrub facilitation of tree establishment varies with ontogenetic stage across environmental gradients,NEW PHYTOLOGIST,223,1795,1808,10.1111/nph.15957,,
11,Jacob,2019,"Mashizi, Azam Khosravi; Sharafatmandrad, Mohsen",Assessing the effects of shrubs on ecosystem functions in arid sand dune ecosystems,ARID LAND RESEARCH AND MANAGEMENT,,,,10.1080/15324982.2019.1634655,,
